window,metric,mean,std,last
1-50,value_pred_target_corr,0.14370700154453517,0.12466838028687013,0.4605814516544342
1-50,value_nrmse,1.0206886471029748,0.035536839835925746,0.9749470456291438
1-50,value_nmae,0.5256848467302493,0.21469329105411886,0.8224572522446296
1-50,value_std_ratio,0.06366535461347671,0.09284946051346872,0.093544813604103
1-50,value_bias_norm,-0.17660195444569898,0.1524494183284343,-0.16715605216862503
1-50,value_full_batch_ev,-0.04306818131042549,0.07567962979710774,0.0494782582190042
1-50,value_error_rmse,2.0867389941215517,0.8459757455672235,3.26505184173584
1-50,value_error_mae,1.2169326189160348,0.8456189637228323,2.75437068939209
1-50,value_target_std,2.054454717338085,0.8393141825292955,3.3489530086517334
1-50,valid_action_ratio,0.9360882663726806,0.14150122337715762,0.9921875
51-100,value_pred_target_corr,0.49292601764202115,0.16568534008237756,0.6740099191665649
51-100,value_nrmse,0.8852845249921332,0.1054726554481852,0.749041236042266
51-100,value_nmae,0.7460488258154793,0.12371239440575159,0.5761167966288894
51-100,value_std_ratio,0.4410609306819094,0.22453649795988465,0.6857074251159507
51-100,value_bias_norm,0.00804130201835873,0.21362212522686452,0.12335053251222132
51-100,value_full_batch_ev,0.2051468287621616,0.1794559597165411,0.4389372267082743
51-100,value_error_rmse,3.1946513748168943,0.2870976563907312,3.011366128921509
51-100,value_error_mae,2.684823265075684,0.34903380460616035,2.3161590099334717
51-100,value_target_std,3.63269757270813,0.28825914057542673,4.020294189453125
51-100,valid_action_ratio,0.9493125462532044,0.05328022983295823,0.9895833134651184
101-150,value_pred_target_corr,0.7664269238710404,0.09280986091224916,0.7174665927886963
101-150,value_nrmse,0.6539155056368994,0.11444068685186125,0.7278390751907096
101-150,value_nmae,0.43067425840752604,0.11105785633540702,0.4740304371334203
101-150,value_std_ratio,0.8224977472765841,0.08674785855149982,0.8038388166014316
101-150,value_bias_norm,0.02116809382300631,0.14614188644249734,-0.19247854884398838
101-150,value_full_batch_ev,0.5592978406805126,0.15880418797601034,0.47025028062553254
101-150,value_error_rmse,2.552907247543335,0.3766537304215424,2.952688455581665
101-150,value_error_mae,1.6777510774135589,0.3793388042495765,1.923040747642517
101-150,value_target_std,3.92952721118927,0.26877553570885376,4.056787490844727
101-150,valid_action_ratio,0.965433737039566,0.026260005246894022,0.9743303656578064
151-200,value_pred_target_corr,0.8113008785247803,0.06788418926627589,0.9332844614982605
151-200,value_nrmse,0.5876479839556932,0.10358099982703388,0.36916774159632326
151-200,value_nmae,0.35324928449223514,0.0852684818535486,0.18284453006925275
151-200,value_std_ratio,0.8554018137448081,0.0684905979674822,0.8880302597209376
151-200,value_bias_norm,0.0009510097214996574,0.10263914503098703,0.07250460991075285
151-200,value_full_batch_ev,0.6439408234276415,0.11962396463021603,0.8637151785646703
151-200,value_error_rmse,2.3675815773010256,0.37326482277629847,1.5771669149398804
151-200,value_error_mae,1.4215565025806427,0.3213094398450277,0.781152606010437
151-200,value_target_std,4.049198842048645,0.21507905294132112,4.272222995758057
151-200,valid_action_ratio,0.9755316746234893,0.012443840437730131,0.9765625
201-250,value_pred_target_corr,0.86123202085495,0.0727149808060716,0.8716208934783936
201-250,value_nrmse,0.5078655238249187,0.13766740467920116,0.5146711835123042
201-250,value_nmae,0.26308540431915994,0.09293751202865037,0.22712475020703887
201-250,value_std_ratio,0.9363658493523248,0.06353921701647726,0.9159695863040068
201-250,value_bias_norm,-0.008412049481541728,0.09034196316111877,0.1504744176964871
201-250,value_full_batch_ev,0.7231202953989342,0.14707387965140264,0.735113572862044
201-250,value_error_rmse,2.025374511480331,0.5046568389483336,2.1920156478881836
201-250,value_error_mae,1.0478497159481048,0.34879592460691167,0.9673380255699158
201-250,value_target_std,4.040944912433624,0.3965375797191586,4.259060382843018
201-250,valid_action_ratio,0.9474440824985504,0.02222642541218522,0.9362980723381042
