window,lo,hi,num_samples,pearson,spearman,rmse,mae,target_std,nrmse,nmae,slope_target_on_pred,target_q1,target_q2,target_q3,target_q4,target_q5,pred_q1,pred_q2,pred_q3,pred_q4,pred_q5,top_bottom_target_gap
1-50,1,50,25600,0.3811693972037641,0.7601359276083367,2.2610290548041454,1.2190327161347567,2.4161896388831767,0.9357829445246896,0.5045269197902132,1.0300320226665516,0.018546884979657053,0.4168512886437667,0.8903815935034047,1.6306305491434734,2.472863667646018,-0.3289083520307619,0.1113005553459254,0.5416213458154087,1.259358122080576,2.101299638106416,2.454316782666361
51-100,51,100,25600,0.5199558107518945,0.5529160155177986,3.1971403374730807,2.677454302413389,3.7295680141325027,0.8572414621098512,0.7178993095896562,0.8816208146731112,1.3124422307872707,2.8463130231639546,3.6139015515913995,4.788697117336037,6.727835069222562,1.2754438676701314,2.695422112242937,3.41203208888447,4.785562015503876,7.466199354081033,5.415392838435291
101-150,101,150,25600,0.7801447773646668,0.8228392449971261,2.577899808218327,1.676002773294067,4.094812088822668,0.6295526515746708,0.40929906841609137,0.9214369117762051,0.48535092020572074,2.179208726838436,5.344765124488996,7.463451378252528,8.917964677198217,0.14755213904710968,2.054699778978389,5.657807329180455,7.804018539755352,9.198606402074192,8.432613756992497
151-200,151,200,25600,0.8141508545228426,0.8578811079795121,2.412704791925543,1.4298724302313348,4.134017503951871,0.5836222971042437,0.3458796265048377,0.9335013311273442,0.5556793277631566,2.7519611368383416,6.4593881085314555,8.277601506880012,9.289346799859644,0.3370178365875232,2.4650732611867703,6.746533193604991,8.464817303863002,9.520416265640039,8.733667472096487
201-250,201,250,25600,0.872862910424566,0.9085395826614041,2.0924411679804678,1.0529346781992353,4.255769873982736,0.49167159643015884,0.24741344324942383,0.935440748290131,0.28450117580256284,1.5684234103255155,6.119337302634096,8.367707551748385,9.39656862224806,0.02479869014284493,1.117173018292683,6.479678272637795,8.569620095598486,9.575292467186609,9.112067446445497
