action_cmd,rows,valid_rate,reward_mean,episode_reward_mean,value_pred_mean,value_target_mean,clipped_rate,response_len_mean
click,723,0.941908713692946,1.2586445366528354,5.546334716459198,5.418116905877205,5.058339788427738,0.48132780082987553,314.3637621023513
search,163,0.9877300613496932,0.0,5.766871165644171,4.727091221721626,4.679742269949314,0.3558282208588957,285.5398773006135
no_action_tag,6,0.0,0.0,0.0,-0.06282552083333333,-0.17137367899219194,1.0,512.0
malformed_action_tag,3,0.3333333333333333,0.0,6.666666666666667,5.409830729166667,5.253410786390305,1.0,512.0
search[men's,1,1.0,0.0,10.0,8.0625,7.702226638793945,0.0,151.0
