stage,rows,valid_rate,reward_mean,episode_reward_mean,value_pred_mean,value_target_mean,clipped_rate,response_len_mean,prompt_len_mean
product_detail,550,0.9381818181818182,1.6545454545454545,5.509090909090909,5.635315385298296,5.1429964533515955,0.49636363636363634,324.8872727272727,1674.1654545454546
other,173,0.953757225433526,0.0,5.722543352601156,4.615387492097182,4.581660070128179,0.3872832369942196,296.5433526011561,333.02312138728325
search_results,173,0.9421965317919075,0.0,5.5491329479768785,4.704300191361091,4.746454523025737,0.43352601156069365,280.90751445086704,1115.2947976878613
